"","zip_code","count_april2023","count_april2024"
"171","21022","0","1"
"172","21028","7","11"
"173","21029","12","17"
"174","21030","63","74"
"175","21032","11","17"
"176","21034","17","13"
"177","21035","14","17"
"178","21036","4","3"
"179","21037","45","39"
"180","21040","116","141"
"181","21042","47","77"
"182","21043","59","117"
"183","21044","91","142"
"184","21045","113","114"
"185","21046","39","45"
"186","21047","24","31"
"187","21048","15","14"
"188","21050","41","41"
"189","21051","2","0"
"190","21052","1","3"
"191","21053","8","9"
"192","21054","20","32"
"193","21056","1","0"
"194","21057","7","9"
"195","21060","146","192"
"196","21061","202","199"
"197","21071","2","3"
"198","21072","1","0"
"199","21074","34","31"
"200","21075","87","108"
"201","21076","68","77"
"202","21077","1","0"
"203","21078","75","63"
"204","21079","0","1"
"205","21082","1","0"
"206","21084","23","20"
"207","21085","63","58"
"208","21087","16","15"
"209","21090","39","39"
"210","21093","67","74"
"211","21102","30","23"
"212","21104","4","8"
"213","21108","31","40"
"214","21111","12","8"
"215","21113","103","116"
"216","21114","53","65"
"217","21117","223","260"
"218","21120","16","20"
"219","21122","212","262"
"220","21124","0","1"
"221","21128","33","42"
"222","21130","1","1"
"223","21131","7","23"
"224","21132","5","8"
"225","21133","134","135"
"226","21136","92","112"
"227","21140","5","5"
"228","21144","124","139"
"229","21146","35","46"
"230","21152","6","11"
"231","21153","0","2"
"232","21154","24","22"
"233","21155","4","8"
"234","21156","0","1"
"235","21157","76","86"
"236","21158","38","47"
"237","21160","9","10"
"238","21161","16","17"
"239","21162","12","11"
"240","21163","11","11"
"241","21201","68","101"
"242","21202","97","104"
"243","21203","0","3"
"244","21204","33","49"
"245","21205","47","86"
"246","21206","234","317"
"247","21207","221","298"
"248","21208","84","121"
"249","21209","75","74"
"250","21210","11","13"
"251","21211","53","66"
"252","21212","107","118"
"253","21213","156","231"
"254","21214","81","111"
"255","21215","269","322"
"256","21216","148","199"
"257","21217","147","190"
"258","21218","183","211"
"259","21219","28","76"
"260","21220","170","226"
"261","21221","176","233"
"262","21222","249","359"
"263","21223","118","137"
"264","21224","139","239"
"265","21225","129","188"
"266","21226","34","39"
"267","21227","113","141"
"268","21228","98","131"
"269","21229","229","273"
"270","21230","117","163"
"271","21231","42","45"
"272","21234","227","281"
"273","21236","132","142"
"274","21237","122","134"
"275","21239","125","159"
"276","21244","151","197"
"277","21260","2","0"
"278","21286","47","59"
"279","21401","70","77"
"280","21403","49","69"
"281","21405","0","1"
"282","21409","29","39"
"283","21502","145","146"
"284","21503","2","0"
"285","21520","5","9"
"286","21521","8","3"
"287","21522","0","1"
"288","21523","2","0"
"289","21524","2","5"
"290","21529","9","4"
"291","21530","7","8"
"292","21531","10","13"
"293","21532","50","65"
"294","21536","21","19"
"295","21538","3","2"
"296","21539","11","16"
"297","21541","8","8"
"298","21543","1","0"
"299","21545","9","18"
"300","21550","29","59"
"301","21552","1","0"
"302","21555","8","5"
"303","21557","9","8"
"304","21558","1","0"
"305","21561","10","8"
"306","21562","10","12"
"307","21601","53","78"
"308","21610","2","1"
"309","21611","0","1"
"310","21612","3","5"
"311","21613","65","86"
"312","21617","c(12, 1)","20"
"313","21619","17","20"
"314","21620","30","35"
"315","21622","1","2"
"316","21623","2","6"
"317","21625","5","11"
"318","21626","0","1"
"319","21628","0","2"
"320","21629","27","24"
"321","21631","6","5"
"322","21632","23","20"
"323","21634","1","2"
"324","21635","5","9"
"325","21636","3","0"
"326","21638","16","15"
"327","21639","19","9"
"328","21640","4","4"
"329","21641","0","1"
"330","21643","16","36"
"331","21645","3","2"
"332","21647","1","6"
"333","21649","2","2"
"334","21651","9","8"
"335","21652","0","1"
"336","21653","0","1"
"337","21654","1","2"
"338","21657","1","1"
"339","21658","11","10"
"340","21659","1","0"
"341","21660","12","10"
"342","21661","13","14"
"343","21662","4","3"
"344","21663","16","17"
"345","21664","1","1"
"346","21665","1","0"
"347","21666","18","29"
"348","21668","7","5"
"349","21671","1","4"
"350","21672","1","1"
"351","21673","9","19"
"352","21675","1","1"
"353","21676","3","4"
"354","21677","1","0"
"355","21678","6","5"
"356","21679","1","3"
"357","21701","89","89"
"358","21702","104","118"
"359","21703","90","114"
"360","21704","40","47"
"361","21710","4","8"
"362","21711","2","1"
"363","21713","13","21"
"364","21714","0","1"
"365","21716","18","16"
"366","21717","0","1"
"367","21719","1","3"
"368","21720","1","0"
"369","21722","18","16"
"370","21723","0","2"
"371","21727","9","11"
"372","21733","6","4"
"373","21734","3","3"
"374","21737","1","2"
"375","21738","4","1"
"376","21740","206","192"
"377","21741","1","0"
"378","21742","94","86"
"379","21750","18","12"
"380","21754","14","18"
"381","21755","8","12"
"382","21756","11","6"
"383","21757","1","1"
"384","21758","8","6"
"385","21762","0","2"
"386","21765","1","0"
"387","21766","3","4"
"388","21767","3","6"
"389","21769","18","21"
"390","21770","13","9"
"391","21771","48","57"
"392","21773","7","10"
"393","21774","34","37"
"394","21776","15","13"
"395","21777","4","0"
"396","21778","3","2"
"397","21779","4","2"
"398","21780","6","5"
"399","21782","11","10"
"400","21783","21","18"
"401","21784","63","75"
"402","21787","22","28"
"403","21788","23","25"
"404","21790","0","1"
"405","21791","10","6"
"406","21793","18","19"
"407","21794","1","1"
"408","21795","36","29"
"409","21797","18","23"
"410","21798","7","7"
"411","21801","106","108"
"412","21802","2","0"
"413","21804","152","155"
"414","21805","1","0"
"415","21811","219","218"
"416","21813","24","30"
"417","21814","1","1"
"418","21817","21","11"
"419","21821","0","1"
"420","21822","17","5"
"421","21826","21","20"
"422","21829","0","3"
"423","21830","10","11"
"424","21835","1","0"
"425","21837","10","7"
"426","21838","2","5"
"427","21840","5","3"
"428","21841","9","4"
"429","21842","202","217"
"430","21843","1","0"
"431","21849","12","13"
"432","21850","19","21"
"433","21851","41","38"
"434","21853","36","34"
"435","21856","6","3"
"436","21861","4","2"
"437","21862","2","2"
"438","21863","31","27"
"439","21864","1","4"
"440","21865","2","1"
"441","21869","4","3"
"442","21871","6","8"
"443","21872","10","7"
"444","21874","13","17"
"445","21875","19","17"
"446","21880","0","1"
"447","21901","56","64"
"448","21902","1","0"
"449","21903","23","12"
"450","21904","19","19"
"451","21911","26","25"
"452","21912","1","0"
"453","21913","2","3"
"454","21914","0","1"
"455","21915","4","4"
"456","21917","2","4"
"457","21918","11","11"
"458","21919","10","9"
"459","21921","91","112"
"460","21922","0","1"
