"","zip_code","count_april2023","count_april2024","difference","pct_change","primary_city","county","estimated_population"
"101",20776,4,7,3,75,"Harwood","Anne Arundel County",2800
"102",20777,7,8,1,14.2857142857143,"Highland","Howard County",3036
"103",20778,5,4,-1,-20,"West River","Anne Arundel County",1676
"104",20779,2,3,1,50,"Tracys Landing","Anne Arundel County",1160
"105",20781,18,16,-2,-11.1111111111111,"Hyattsville","Prince George's County",8985
"106",20782,47,60,13,27.6595744680851,"Hyattsville","Prince George's County",23691
"107",20783,58,71,13,22.4137931034483,"Hyattsville","Prince George's County",29484
"108",20784,66,63,-3,-4.54545454545455,"Hyattsville","Prince George's County",24037
"109",20785,110,124,14,12.7272727272727,"Hyattsville","Prince George's County",27933
"110",20792,0,1,1,Inf,"Upper Marlboro","Prince George's County",409
"111",20794,25,38,13,52,"Jessup","Howard County",7418
"112",20814,25,46,21,84,"Bethesda","Montgomery County",22685
"113",20815,26,26,0,0,"Chevy Chase","Montgomery County",24927
"114",20816,6,9,3,50,"Bethesda","Montgomery County",13948
"115",20817,26,48,22,84.6153846153846,"Bethesda","Montgomery County",31025
"116",20818,2,4,2,100,"Cabin John","Montgomery County",1588
"117",20832,29,46,17,58.6206896551724,"Olney","Montgomery County",21823
"118",20833,8,8,0,0,"Brookeville","Montgomery County",6945
"119",20837,10,16,6,60,"Poolesville","Montgomery County",5273
"120",20839,0,1,1,Inf,"Beallsville","Montgomery County",0
"121",20841,25,27,2,8,"Boyds","Montgomery County",7969
"122",20842,2,2,0,0,"Dickerson","Montgomery County",1511
"123",20849,1,0,-1,-100,"Rockville","Montgomery County",470
"124",20850,93,125,32,34.4086021505376,"Rockville","Montgomery County",37165
"125",20851,25,32,7,28,"Rockville","Montgomery County",11459
"126",20852,74,84,10,13.5135135135135,"Rockville","Montgomery County",32220
"127",20853,29,46,17,58.6206896551724,"Rockville","Montgomery County",26064
"128",20854,30,68,38,126.666666666667,"Potomac","Montgomery County",44511
"129",20855,29,36,7,24.1379310344828,"Derwood","Montgomery County",13190
"130",20859,1,0,-1,-100,"Potomac","Montgomery County",0
"131",20860,1,5,4,400,"Sandy Spring","Montgomery County",1485
"132",20861,5,7,2,40,"Ashton","Montgomery County",1811
"133",20862,0,1,1,Inf,"Brinklow","Montgomery County",0
"134",20866,32,43,11,34.375,"Burtonsville","Montgomery County",11721
"135",20868,3,2,-1,-33.3333333333333,"Spencerville","Montgomery County",651
"136",20871,47,77,30,63.8297872340426,"Clarksburg","Montgomery County",10531
"137",20872,19,30,11,57.8947368421053,"Damascus","Montgomery County",11276
"138",20874,151,187,36,23.841059602649,"Germantown","Montgomery County",48336
"139",20875,1,0,-1,-100,"Germantown","Montgomery County",716
"140",20876,52,66,14,26.9230769230769,"Germantown","Montgomery County",20992
"141",20877,63,87,24,38.0952380952381,"Gaithersburg","Montgomery County",26800
"142",20878,121,166,45,37.1900826446281,"Gaithersburg","Montgomery County",52924
"143",20879,39,59,20,51.2820512820513,"Gaithersburg","Montgomery County",21332
"144",20882,18,14,-4,-22.2222222222222,"Gaithersburg","Montgomery County",12565
"145",20883,1,0,-1,-100,"Gaithersburg","Montgomery County",0
"146",20885,1,0,-1,-100,"Gaithersburg","Montgomery County",0
"147",20886,84,83,-1,-1.19047619047619,"Montgomery Village","Montgomery County",27103
