"","tract","zip","cty","tot_pop","age_above65","age_below18","median_age","white","black","asian","edu_highschool","edu_bachelor","edu_graduate","income_0to10k","income_10to50k","income_50to100k","income_100to200k","income_200k","income_median","income_per_capita","occupation_management","occupation_sales","occupation_naturalresource","occupation_production","census_response_rate2020","census_response_rate2010","nbanks_zip","pct_anymembershp_zip","census","county","USPS","ANSICODE","NAME","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"11",24001001200,21502,24001,3116,0.160462130937099,0.195442875481386,43.3597240051348,0.91816431322208,0.0250320924261874,0.0343388960205392,0.262170611880304,0.449307726663689,0.270209915140688,0.0418342719227675,0.385358004827031,0.292035398230089,0.226065969428801,0.0547063555913113,59549.0643604183,34465.028157683,0.481507327285415,0.220516399162596,0.0314026517794836,0.0788555478018144,0.723000049591064,0.717342555522919,10,0.551935017108917,"24001001200",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"12",24001001300,21502,24001,5134,0.0966108297623685,0.0810284378652123,40.5043825477211,0.534281262173744,0.419361121932217,0,0.405636405636406,0.0949410949410949,0.0434280434280434,0.0443037974683544,0.509493670886076,0.306962025316456,0.109704641350211,0.029535864978903,41587.4398734177,20858.885021097,0.31547619047619,0.284722222222222,0.060515873015873,0.126984126984127,0.718000054359436,0.712612330913544,10,0.551935017108917,"24001001300",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"13",24001001401,21502,24001,3859,0.217413837781809,0.165327805130863,50.6170251360456,0.972272609484322,0.00336874838040943,0.0108836486136305,0.246519524617997,0.368421052631579,0.206451612903226,0.0659203980099503,0.279228855721393,0.343905472636816,0.257462686567164,0.0534825870646766,68291.0746268657,38532.6361940299,0.428273343766301,0.217527386541471,0.04434011476265,0.07094418362024,0.768999993801117,0.735516607761383,10,0.551935017108917,"24001001401",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"14",24001001402,21502,24001,1517,0.168094924192485,0.17139090309822,44,0.943309162821358,0.044166117336849,0,0.353803849679193,0.206232813932172,0.101741521539872,0.0307017543859649,0.492690058479532,0.330409356725146,0.146198830409357,0,46919,25081,0.346965699208443,0.240105540897098,0.0976253298153034,0.150395778364116,0.736999988555908,0.763999998569489,10,0.551935017108917,"24001001402",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"15",24001001502,21502,24001,2000,0.21,0.1535,47.4,0.963,0.024,0,0.541930937279774,0.0852713178294574,0.0408738548273432,0.0256723716381418,0.555012224938875,0.301955990220049,0.0806845965770171,0.0366748166259169,42864,23463,0.268508287292818,0.314917127071823,0.0773480662983425,0.0983425414364641,0.666999995708466,0.733557820320129,10,0.551935017108917,"24001001502",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"16",24001001503,21545,24001,1965,0.157251908396947,0.188295165394402,41.9866157760814,0.982188295165394,0.0101781170483461,0,0.477256317689531,0.0794223826714801,0.0476534296028881,0.0598958333333333,0.46875,0.29296875,0.174479166666667,0.00390625,48432.484375,22679.7291666667,0.277161862527716,0.21840354767184,0.10310421286031,0.134146341463415,0.655999958515167,0.594000041484833,NA,NA,"24001001503",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"17",24001001600,21532,24001,1726,0.192931633835458,0.182502896871379,46.6,0.985515643105446,0.00637311703360371,0,0.432274247491639,0.260869565217391,0.127926421404682,0.0334302325581395,0.462209302325581,0.234011627906977,0.241279069767442,0.0290697674418605,50938,28459,0.315665488810365,0.191990577149588,0.100117785630153,0.150765606595995,0.725000023841858,0.706118941307068,2,0.489351004362106,"24001001600",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"18",24001001700,21532,24001,4987,0.145779025466212,0.1810707840385,38.8966913976338,0.943252456386605,0.0104271104872669,0.0128333667535593,0.387028657616893,0.193966817496229,0.113122171945701,0.13884926295768,0.404660009510224,0.348549690917737,0.103185924869234,0.00475511174512601,47247.4317641465,23826.7213504517,0.305652173913044,0.245652173913043,0.120869565217391,0.131739130434783,0.653000056743622,0.705999970436096,2,0.489351004362106,"24001001700",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"19",24001001800,21532,24001,4900,0.0838775510204082,0.0983673469387755,24.4471428571429,0.702244897959184,0.238571428571429,0.0338775510204082,0.310305775764439,0.37995469988675,0.244620611551529,0.178548490687219,0.452793834296724,0.251766217084136,0.104046242774566,0.0128452151573539,35809.344894027,18432.2697495183,0.360065466448445,0.2569558101473,0.0960174577195854,0.0425531914893617,0.522000014781952,0.703349351882935,2,0.489351004362106,"24001001800",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
"20",24001001900,21532,24001,3010,0.171760797342193,0.222259136212625,40.36,0.980066445182724,0.00365448504983389,0.00132890365448505,0.502849002849003,0.155270655270655,0.0721747388414055,0.0524956970740103,0.427710843373494,0.414802065404475,0.0938037865748709,0.0111876075731497,51982.8253012048,23214.2168674699,0.220287660862983,0.286903860711582,0.115064345193036,0.121877365632097,0.676999986171722,0.679742455482483,2,0.489351004362106,"24001001900",24001,"MD",1713506,"Allegany County",1093502055,14761330,422.204,5.699,39.612313,-78.703104
