"","GEOID","Place","State","year","total","yes_internet","no_internet"
"171","2425600","Eldorado town"," Maryland","2020",30,27,1
"172","2425750","Elkridge CDP"," Maryland","2020",7977,7702,151
"173","2425800","Elkton town"," Maryland","2020",5601,4750,589
"174","2425925","Ellerslie CDP"," Maryland","2020",254,198,32
"175","2426000","Ellicott City CDP"," Maryland","2020",26364,24746,1291
"176","2426025","Elliott CDP"," Maryland","2020",22,17,5
"177","2426200","Emmitsburg town"," Maryland","2020",1157,912,240
"178","2426550","Ernstville CDP"," Maryland","2020",12,12,0
"179","2426600","Essex CDP"," Maryland","2020",14863,12600,2044
"180","2427250","Fairland CDP"," Maryland","2020",8741,8343,318
"181","2427325","Fairlee CDP"," Maryland","2020",192,149,43
"182","2427375","Fairmount CDP"," Maryland","2020",171,166,5
"183","2427400","Fairmount Heights town"," Maryland","2020",471,366,64
"184","2427425","Fairplay CDP"," Maryland","2020",189,151,38
"185","2427500","Fairview CDP"," Maryland","2020",8,0,8
"186","2427580","Fairwood CDP"," Maryland","2020",2194,2194,0
"187","2427700","Fallston CDP"," Maryland","2020",3146,2892,254
"188","2427900","Federalsburg town"," Maryland","2020",1005,695,234
"189","2428075","Ferndale CDP"," Maryland","2020",6361,5539,752
"190","2428275","Finzel CDP"," Maryland","2020",305,283,4
"191","2428300","Fishing Creek CDP"," Maryland","2020",104,104,0
"192","2428425","Flintstone CDP"," Maryland","2020",65,65,0
"193","2428512","Flower Hill CDP"," Maryland","2020",4505,4215,223
"194","2428640","Forest Glen CDP"," Maryland","2020",2284,2025,202
"195","2428725","Forest Heights town"," Maryland","2020",744,701,43
"196","2429000","Forestville CDP"," Maryland","2020",4160,3322,649
"197","2429400","Fort Meade CDP"," Maryland","2020",2905,2707,34
"198","2429450","Fort Ritchie CDP"," Maryland","2020",19,19,0
"199","2429525","Fort Washington CDP"," Maryland","2020",8105,7487,464
"200","2429712","Fountainhead-Orchard Hills CDP"," Maryland","2020",2359,2051,264
"201","2429790","Four Corners CDP"," Maryland","2020",2771,2617,154
"202","2430100","Franklin CDP"," Maryland","2020",70,8,62
"203","2430325","Frederick city"," Maryland","2020",28754,25901,2323
"204","2430567","Frenchtown-Rumbly CDP"," Maryland","2020",8,0,8
"205","2430575","Friendly CDP"," Maryland","2020",3277,3062,159
"206","2430650","Friendship CDP"," Maryland","2020",117,117,0
"207","2430800","Friendship Heights Village CDP"," Maryland","2020",2804,2519,241
"208","2430850","Friendsville town"," Maryland","2020",212,151,56
"209","2430900","Frostburg city"," Maryland","2020",2990,2614,362
"210","2430950","Fruitland city"," Maryland","2020",1891,1677,210
"211","2431025","Fulton CDP"," Maryland","2020",1410,1392,0
"212","2431100","Funkstown town"," Maryland","2020",504,386,101
"213","2431175","Gaithersburg city"," Maryland","2020",24713,22595,1601
"214","2431225","Galena town"," Maryland","2020",343,299,42
"215","2431250","Galestown town"," Maryland","2020",31,31,0
"216","2431275","Galesville CDP"," Maryland","2020",430,399,31
"217","2431350","Gambrills CDP"," Maryland","2020",976,879,87
"218","2431400","Gapland CDP"," Maryland","2020",28,28,0
"219","2431525","Garrett Park town"," Maryland","2020",330,325,0
"220","2431575","Garretts Mill CDP"," Maryland","2020",162,97,65
"221","2431625","Garrison CDP"," Maryland","2020",3440,3098,277
"222","2431875","Georgetown CDP"," Maryland","2020",6,6,0
"223","2432025","Germantown CDP"," Maryland","2020",30270,28758,1135
"224","2432175","Gilmore CDP"," Maryland","2020",64,22,4
"225","2432250","Girdletree CDP"," Maryland","2020",60,28,32
"226","2432350","Glassmanor CDP"," Maryland","2020",6495,5360,919
"227","2432500","Glenarden city"," Maryland","2020",2250,2132,118
"228","2432650","Glen Burnie CDP"," Maryland","2020",27595,24550,2584
"229","2432900","Glen Echo town"," Maryland","2020",109,103,4
"230","2433250","Glenmont CDP"," Maryland","2020",4726,4377,273
"231","2433400","Glenn Dale CDP"," Maryland","2020",4146,4020,44
"232","2433850","Golden Beach CDP"," Maryland","2020",1348,1288,60
"233","2433950","Goldsboro town"," Maryland","2020",71,61,10
"234","2434150","Gorman CDP"," Maryland","2020",82,82,0
"235","2434350","Graceham CDP"," Maryland","2020",100,100,0
"236","2434425","Grahamtown CDP"," Maryland","2020",113,81,32
"237","2434525","Grantsville town"," Maryland","2020",349,305,44
"238","2434550","Grasonville CDP"," Maryland","2020",1237,1069,99
"239","2434775","Greenbelt city"," Maryland","2020",9791,9177,565
"240","2435200","Greensboro town"," Maryland","2020",883,732,131
"241","2435225","Greensburg CDP"," Maryland","2020",69,45,18
"242","2435412","Green Valley CDP"," Maryland","2020",3974,3841,95
"243","2436075","Hagerstown city"," Maryland","2020",16669,13123,2984
"244","2436125","Halfway CDP"," Maryland","2020",4487,3710,629
"245","2436500","Hampstead town"," Maryland","2020",2590,2347,183
"246","2436512","Hampton CDP"," Maryland","2020",1643,1604,30
"247","2436600","Hancock town"," Maryland","2020",725,553,165
"248","2437600","Havre de Grace city"," Maryland","2020",5811,5130,595
"249","2437875","Hebron town"," Maryland","2020",409,343,66
"250","2437925","Henderson town"," Maryland","2020",39,22,14
"251","2438025","Herald Harbor CDP"," Maryland","2020",981,981,0
"252","2438437","Highfield-Cascade CDP"," Maryland","2020",332,308,19
"253","2438475","Highland CDP"," Maryland","2020",364,355,9
"254","2438500","Highland Beach town"," Maryland","2020",56,56,0
"255","2438850","Hillandale CDP"," Maryland","2020",1450,1375,61
"256","2438975","Hillcrest Heights CDP"," Maryland","2020",6828,5837,716
"257","2439175","Hillsboro town"," Maryland","2020",47,43,4
"258","2440200","Honeygo CDP"," Maryland","2020",4035,3557,362
"259","2440700","Hughesville CDP"," Maryland","2020",912,859,18
"260","2441025","Huntingtown CDP"," Maryland","2020",896,867,15
"261","2441125","Hurlock town"," Maryland","2020",877,731,131
"262","2441175","Hutton CDP"," Maryland","2020",28,28,0
"263","2441250","Hyattsville city"," Maryland","2020",6816,6239,537
"264","2441475","Ilchester CDP"," Maryland","2020",9302,9082,179
"265","2441500","Indian Head town"," Maryland","2020",1596,1313,231
"266","2441700","Indian Springs CDP"," Maryland","2020",9,9,0
"267","2442325","Jarrettsville CDP"," Maryland","2020",988,935,53
"268","2442350","Jefferson CDP"," Maryland","2020",901,850,39
"269","2442450","Jennings CDP"," Maryland","2020",60,21,39
"270","2442550","Jessup CDP"," Maryland","2020",1558,1416,142
"271","2442575","Jesterville CDP"," Maryland","2020",74,74,0
"272","2442875","Joppatowne CDP"," Maryland","2020",5066,4514,520
"273","2442950","Jugtown CDP"," Maryland","2020",49,42,7
"274","2443100","Keedysville town"," Maryland","2020",370,346,18
"275","2443200","Kemp Mill CDP"," Maryland","2020",4784,4629,115
"276","2443280","Kemps Mill CDP"," Maryland","2020",0,0,0
"277","2443475","Kennedyville CDP"," Maryland","2020",146,93,53
"278","2443500","Kensington town"," Maryland","2020",823,788,28
"279","2443725","Kent Narrows CDP"," Maryland","2020",289,255,34
"280","2443900","Kettering CDP"," Maryland","2020",5624,5253,291
"281","2444325","Kingstown CDP"," Maryland","2020",905,784,121
"282","2444350","Kingsville CDP"," Maryland","2020",1652,1543,109
"283","2444450","Kitzmiller town"," Maryland","2020",104,73,29
"284","2444525","Klondike CDP"," Maryland","2020",49,45,4
"285","2444715","Konterra CDP"," Maryland","2020",1110,1001,109
"286","2444817","Lake Arbor CDP"," Maryland","2020",5506,5028,311
"287","2444975","Lake Shore CDP"," Maryland","2020",6731,6239,380
"288","2445325","Landover CDP"," Maryland","2020",8056,7008,904
"289","2445400","Landover Hills town"," Maryland","2020",553,533,20
"290","2445525","Langley Park CDP"," Maryland","2020",4732,4182,521
"291","2445550","Lanham CDP"," Maryland","2020",2937,2617,268
"292","2445650","Lansdowne CDP"," Maryland","2020",3360,2607,658
"293","2445750","La Plata town"," Maryland","2020",3298,2805,430
"294","2445825","Largo CDP"," Maryland","2020",4232,3917,273
"295","2445900","Laurel city"," Maryland","2020",9647,8974,548
"296","2446075","La Vale CDP"," Maryland","2020",1955,1734,202
"297","2446150","Layhill CDP"," Maryland","2020",1579,1399,152
"298","2446250","Laytonsville town"," Maryland","2020",158,153,4
"299","2446375","Leisure World CDP"," Maryland","2020",6215,5155,826
"300","2446400","Leitersburg CDP"," Maryland","2020",224,105,119
"301","2446475","Leonardtown town"," Maryland","2020",1241,1047,169
"302","2446650","Lewistown CDP"," Maryland","2020",179,157,22
"303","2446725","Lexington Park CDP"," Maryland","2020",5501,4932,405
"304","2446800","Libertytown CDP"," Maryland","2020",305,264,41
"305","2447040","Linganore CDP"," Maryland","2020",3504,3453,51
"306","2447125","Linthicum CDP"," Maryland","2020",3856,3397,282
"307","2447250","Lisbon CDP"," Maryland","2020",19,19,0
"308","2447275","Little Orleans CDP"," Maryland","2020",41,10,31
"309","2447450","Lochearn CDP"," Maryland","2020",9900,7876,936
"310","2447525","Loch Lynn Heights town"," Maryland","2020",187,134,50
"311","2447875","Lonaconing town"," Maryland","2020",427,372,52
"312","2448025","Long Beach CDP"," Maryland","2020",747,725,15
"313","2448775","Luke town"," Maryland","2020",35,34,0
"314","2448800","Lusby CDP"," Maryland","2020",930,739,191
"315","2448875","Lutherville CDP"," Maryland","2020",2461,2210,211
"316","2449325","McCoole CDP"," Maryland","2020",208,155,53
"317","2449700","Madison CDP"," Maryland","2020",72,66,6
"318","2449950","Manchester town"," Maryland","2020",1737,1542,180
"319","2450375","Mapleville CDP"," Maryland","2020",111,111,0
"320","2450525","Mardela Springs town"," Maryland","2020",159,133,15
"321","2450680","Marlboro Meadows CDP"," Maryland","2020",1383,1280,98
"322","2450685","Marlboro Village CDP"," Maryland","2020",3366,3163,134
"323","2450750","Marlow Heights CDP"," Maryland","2020",2300,1972,299
