"","location_name","street_address","city","region","postal_code","chg_nvisits_yoy","start","address"
"14","Dejavu Salon & Spa","2107 N North Point Blvd Ste","Dundalk","MD","21222",-0.762222230434418,2024-01-01,"2107 N North Point Blvd Ste Dundalk MD 21222"
"15","Adrian Steel Maryland","7600 Energy Pkwy","Baltimore","MD","21226",-0.761904776096344,2024-02-01,"7600 Energy Pkwy Baltimore MD 21226"
"16","Vulcan Materials Co","420 Frankfurst Ave","Curtis Bay","MD","21226",-0.74137932062149,2024-07-01,"420 Frankfurst Ave Curtis Bay MD 21226"
"17","First Apostolic Faith Gospel Tabernacle Church Of Turner Statio","206 Balnew Ave","Dundalk","MD","21222",-0.724637687206268,2024-01-01,"206 Balnew Ave Dundalk MD 21222"
"18","Carroll Independent Fuel","7115 N Point Rd","Baltimore","MD","21219",-0.712707161903381,2024-01-01,"7115 N Point Rd Baltimore MD 21219"
"19","Taste International","4314 Curtis Ave","Baltimore","MD","21226",-0.709459483623505,2024-01-01,"4314 Curtis Ave Baltimore MD 21226"
"20","Open Hearth Inn","6591 Saint Helena Ave","Dundalk","MD","21222",-0.700892865657806,2024-04-01,"6591 Saint Helena Ave Dundalk MD 21222"
"21","Eisners Auto Sales","4215 North Point Rd","Dundalk","MD","21222",-0.695652186870575,2024-04-01,"4215 North Point Rd Dundalk MD 21222"
"22","Four Sons Automotive","1000 Wise Ave","Dundalk","MD","21222",-0.693548381328583,2024-03-01,"1000 Wise Ave Dundalk MD 21222"
"23","Iglesia De Dios De La Profecia","7837 Jamesford Rd","Dundalk","MD","21222",-0.683544278144836,2024-04-01,"7837 Jamesford Rd Dundalk MD 21222"
"24","Fiberglass Unlimited","6608 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.674618303775787,2024-06-01,"6608 Fort Smallwood Rd Curtis Bay MD 21226"
"25","St Helena Conv Store","275 Saint Helena Ave","Dundalk","MD","21222",-0.666666686534882,2024-04-01,"275 Saint Helena Ave Dundalk MD 21222"
"26","Jock City Sporting Goods","7700 German Hill Rd","Dundalk","MD","21222",-0.657894730567932,2024-07-01,"7700 German Hill Rd Dundalk MD 21222"
"27","Sonny's Beauty Salon","7730 N Point Rd","Sparrows Pt","MD","21219",-0.629629611968994,2024-02-01,"7730 N Point Rd Sparrows Pt MD 21219"
"28","Greater St John Baptist Church","209 Walnut Ave","Dundalk","MD","21222",-0.625,2024-02-01,"209 Walnut Ave Dundalk MD 21222"
"29","U T S","4000 Beachwood Rd","Dundalk","MD","21222",-0.620155036449432,2024-04-01,"4000 Beachwood Rd Dundalk MD 21222"
"30","Crown Pizza & Wings","7717 Westfield Rd","Dundalk","MD","21222",-0.615384638309479,2024-05-01,"7717 Westfield Rd Dundalk MD 21222"
"31","Just Wright Auto","6309 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.593220353126526,2024-03-01,"6309 Fort Smallwood Rd Curtis Bay MD 21226"
"32","Fiberglass Unlimited","6608 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.575642943382263,2024-02-01,"6608 Fort Smallwood Rd Curtis Bay MD 21226"
"33","Dundalk Athletic Club","7801 Seaside Rd","Dundalk","MD","21222",-0.574999988079071,2024-04-01,"7801 Seaside Rd Dundalk MD 21222"
"34","North Point Liquor & Bar","1110 North Point Rd","Dundalk","MD","21222",-0.574999988079071,2024-02-01,"1110 North Point Rd Dundalk MD 21222"
"35","Glass America","1123 N Point Rd","Dundalk","MD","21222",-0.573529422283173,2024-06-01,"1123 N Point Rd Dundalk MD 21222"
"36","Foundation Building Materials (FBM)","8203 Fischer Rd","Baltimore","MD","21222",-0.572463750839233,2024-06-01,"8203 Fischer Rd Baltimore MD 21222"
"37","Saint Ritas Church","2907 Dunleer Rd","Baltimore","MD","21222",-0.5686274766922,2024-06-01,"2907 Dunleer Rd Baltimore MD 21222"
"38","Sparkman's Auto & Truck Center","7910 Dundalk Ave","Dundalk","MD","21222",-0.564593315124512,2024-02-01,"7910 Dundalk Ave Dundalk MD 21222"
"39","Moore Performance","7944 Fort Smallwood Rd","Baltimore","MD","21226",-0.5573770403862,2024-04-01,"7944 Fort Smallwood Rd Baltimore MD 21226"
"40","Icy Delights","7812 Wise Ave","Dundalk","MD","21222",-0.5545454621315,2024-01-01,"7812 Wise Ave Dundalk MD 21222"
"41","Dundalk Patapsco Neck Historical Society & Museum","4 N Center Pl","Dundalk","MD","21222",-0.552083313465118,2024-06-01,"4 N Center Pl Dundalk MD 21222"
"42","D&m Automotive","8027 Fort Smallwood Rd","Baltimore","MD","21226",-0.539370059967041,2024-06-01,"8027 Fort Smallwood Rd Baltimore MD 21226"
"43","Dundalk Seventh Day Adventist Church","6740 Holabird Ave","Dundalk","MD","21222",-0.526315808296204,2024-03-01,"6740 Holabird Ave Dundalk MD 21222"
"44","Roudebush Yacht & Engine Works","1917 Wills Rd","Dundalk","MD","21222",-0.521233260631561,2024-07-01,"1917 Wills Rd Dundalk MD 21222"
"45","Skateland North Point","1111 North Point Rd","Dundalk","MD","21222",-0.519999980926514,2024-07-01,"1111 North Point Rd Dundalk MD 21222"
"46","Freedom Baptist Church Inc","7001 German Hill Rd","Baltimore","MD","21222",-0.515151500701904,2024-05-01,"7001 German Hill Rd Baltimore MD 21222"
"47","Joe's Deli","6301 Hawkins Pt Rd","Baltimore","MD","21226",-0.510948896408081,2024-02-01,"6301 Hawkins Pt Rd Baltimore MD 21226"
"48","Singh Sabha Of Maryland Inc","6701 Brentwood Ave","Dundalk","MD","21222",-0.507042229175568,2024-05-01,"6701 Brentwood Ave Dundalk MD 21222"
"49","Gerber Collision","1123 N Point Rd","Dundalk","MD","21222",-0.506329119205475,2024-03-01,"1123 N Point Rd Dundalk MD 21222"
"50","Dundalk Muslim Association Inc","1510 Lynch Rd","Dundalk","MD","21222",-0.5,2024-04-01,"1510 Lynch Rd Dundalk MD 21222"
"51","Erickson Esthetics","6912 Holabird Ave","Baltimore","MD","21222",-0.490566045045853,2024-02-01,"6912 Holabird Ave Baltimore MD 21222"
"52","Heavenly Hair","102 Sollers Point Rd","Dundalk","MD","21222",-0.487804889678955,2024-02-01,"102 Sollers Point Rd Dundalk MD 21222"
"53","Bear Creek Park","Park Haven Rd","Dundalk","MD","21222",-0.478241145610809,2024-01-01,"Park Haven Rd Dundalk MD 21222"
"54","Macrotech Archery Pro Shop","8043 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.473684221506119,2024-04-01,"8043 Fort Smallwood Rd Curtis Bay MD 21226"
"55","Fleetwood Bail Bonds","8041 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.473684221506119,2024-04-01,"8041 Fort Smallwood Rd Curtis Bay MD 21226"
"56","Dundalk Laundromat","12 Commerce St","Dundalk","MD","21222",-0.470588237047195,2024-04-01,"12 Commerce St Dundalk MD 21222"
"57","Michael's Bay Marine","2819 North Point Blvd","Dundalk","MD","21222",-0.470039933919907,2024-04-01,"2819 North Point Blvd Dundalk MD 21222"
"58","Greater St John Baptist Church","209 Walnut Ave","Dundalk","MD","21222",-0.464788734912872,2024-06-01,"209 Walnut Ave Dundalk MD 21222"
"59","Jaws Marine","6100 Chemical Rd","Baltimore","MD","21226",-0.457446813583374,2024-07-01,"6100 Chemical Rd Baltimore MD 21226"
"60","Chesapeake BBQ","7300 Fort Smallwood Rd","Baltimore","MD","21226",-0.453416138887405,2024-04-01,"7300 Fort Smallwood Rd Baltimore MD 21226"
"61","Dundalk Heritage Park","2717 Playfield St","Dundalk","MD","21222",-0.452069729566574,2024-07-01,"2717 Playfield St Dundalk MD 21222"
"62","Studio 1535 Hair Salon","1535 Merritt Blvd","Dundalk","MD","21222",-0.450549453496933,2024-04-01,"1535 Merritt Blvd Dundalk MD 21222"
"63","Crown","2020 Merritt Blvd","Dundalk","MD","21222",-0.448863625526428,2024-01-01,"2020 Merritt Blvd Dundalk MD 21222"
"64","Bay Marine Service","8500 Cove Rd","Dundalk","MD","21222",-0.443396240472794,2024-03-01,"8500 Cove Rd Dundalk MD 21222"
"65","Atlantic Marine Detail","8500 Cove Rd","Baltimore","MD","21222",-0.443396240472794,2024-03-01,"8500 Cove Rd Baltimore MD 21222"
"66","St Rita Parish Rectory","2907 Dunleer Rd","Dundalk","MD","21222",-0.426229506731033,2024-05-01,"2907 Dunleer Rd Dundalk MD 21222"
"67","New Castle Building Products","5107 N Point Blvd","Sparrows Point","MD","21219",-0.420792073011398,2024-02-01,"5107 N Point Blvd Sparrows Point MD 21219"
"68","Wok and Roll","7721 Westfield Rd","Dundalk","MD","21222",-0.420560747385025,2024-04-01,"7721 Westfield Rd Dundalk MD 21222"
"69","Brooklyn Auto Body & Paint Supplies","1631 Filbert St","Curtis Bay","MD","21226",-0.419642865657806,2024-01-01,"1631 Filbert St Curtis Bay MD 21226"
"70","Leslie's Swimming Pool Supplies","1211 Merritt Blvd Ste D-4","Dundalk","MD","21222",-0.419354826211929,2024-03-01,"1211 Merritt Blvd Ste D-4 Dundalk MD 21222"
"71","Village Food Market","511 Avondale Rd","Dundalk","MD","21222",-0.416666656732559,2024-04-01,"511 Avondale Rd Dundalk MD 21222"
"72","Plaza Flea Market","2401 North Point Blvd","Dundalk","MD","21222",-0.414206653833389,2024-07-01,"2401 North Point Blvd Dundalk MD 21222"
"73","Foundation Building Materials (FBM)","8203 Fischer Rd","Baltimore","MD","21222",-0.412844032049179,2024-02-01,"8203 Fischer Rd Baltimore MD 21222"
"74","Sparta Inn","6400 N Point Rd","Sparrows Point","MD","21219",-0.410958915948868,2024-04-01,"6400 N Point Rd Sparrows Point MD 21219"
"75","Mobile Glass Medic","8203 Fischer Rd","Dundalk","MD","21222",-0.40804597735405,2024-07-01,"8203 Fischer Rd Dundalk MD 21222"
"76","Baltimore Dundalk Church Of The Nazarene","1626 Lynch Rd","Baltimore","MD","21222",-0.404761910438538,2024-05-01,"1626 Lynch Rd Baltimore MD 21222"
"77","Hughes Memorial Presbyterian Church","3010 Sparrows Point Rd","Sparrows Point","MD","21219",-0.400000005960464,2024-06-01,"3010 Sparrows Point Rd Sparrows Point MD 21219"
"78","North Point Car Care","3825 North Point Blvd","Dundalk","MD","21222",-0.400000005960464,2024-04-01,"3825 North Point Blvd Dundalk MD 21222"
"79","Carroll Independent Fuel","2100 Merritt Blvd","Dundalk","MD","21222",-0.396551728248596,2024-02-01,"2100 Merritt Blvd Dundalk MD 21222"
"80","Northpoint Farmers Market","2401 North Point Blvd","Dundalk","MD","21222",-0.395614862442017,2024-02-01,"2401 North Point Blvd Dundalk MD 21222"
"81","Dundalk Motors","114 N Dundalk Ave","Dundalk","MD","21222",-0.395061731338501,2024-07-01,"114 N Dundalk Ave Dundalk MD 21222"
"82","Key Wok","8148 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.39449542760849,2024-02-01,"8148 Fort Smallwood Rd Curtis Bay MD 21226"
"83","Calvary Baptist Church OD Dundalk","7321 Manchester Rd","Dundalk","MD","21222",-0.39215686917305,2024-06-01,"7321 Manchester Rd Dundalk MD 21222"
"84","Glass America","1123 N Point Rd","Dundalk","MD","21222",-0.386666655540466,2024-02-01,"1123 N Point Rd Dundalk MD 21222"
"85","CrossFit","7609 Energy Pkwy Ste 701","Curtis Bay","MD","21226",-0.379310339689255,2024-07-01,"7609 Energy Pkwy Ste 701 Curtis Bay MD 21226"
"86","Northpoint Farmers Market","2401 North Point Blvd","Dundalk","MD","21222",-0.370805382728577,2024-06-01,"2401 North Point Blvd Dundalk MD 21222"
"87","Skateland North Point","1111 North Point Rd","Dundalk","MD","21222",-0.367469877004623,2024-03-01,"1111 North Point Rd Dundalk MD 21222"
"88","Captain Harvey's Submarines","3435 Dundalk Ave","Dundalk","MD","21222",-0.366279065608978,2024-06-01,"3435 Dundalk Ave Dundalk MD 21222"
"89","AMF","1101 Merritt Blvd","Baltimore","MD","21222",-0.366088628768921,2024-02-01,"1101 Merritt Blvd Baltimore MD 21222"
"90","Graceland United Methodist Church Parsonage","6716 Youngstown Ave","Dundalk","MD","21222",-0.365384608507156,2024-07-01,"6716 Youngstown Ave Dundalk MD 21222"
"91","Dutch Country Chicken","2401 North Point Blvd","Dundalk","MD","21222",-0.364190697669983,2024-07-01,"2401 North Point Blvd Dundalk MD 21222"
"92","Charlie's Pro Shop & Cue Repair","2401 North Point Blvd Ste G","Dundalk","MD","21222",-0.364190697669983,2024-07-01,"2401 North Point Blvd Ste G Dundalk MD 21222"
"93","Vittorios North Point","2401 North Point Blvd","Dundalk","MD","21222",-0.364190697669983,2024-07-01,"2401 North Point Blvd Dundalk MD 21222"
"94","North Point Cafe","2401 North Point Blvd","Dundalk","MD","21222",-0.364190697669983,2024-07-01,"2401 North Point Blvd Dundalk MD 21222"
"95","DeborahJohn Furnishings","2500 Sparrows Point Rd","Sparrows Point","MD","21219",-0.36190477013588,2024-03-01,"2500 Sparrows Point Rd Sparrows Point MD 21219"
"96","Erickson Esthetics","6912 Holabird Ave","Baltimore","MD","21222",-0.360000014305115,2024-06-01,"6912 Holabird Ave Baltimore MD 21222"
"97","Arctic Crush Snowballs","2023 Merritt Ave","Dundalk","MD","21222",-0.360000014305115,2024-06-01,"2023 Merritt Ave Dundalk MD 21222"
"98","Curtis Bay Park","4416 Curtis Ave","Curtis Bay","MD","21226",-0.35940408706665,2024-05-01,"4416 Curtis Ave Curtis Bay MD 21226"
"99","Intoxalock Ignition Interlock","7905 Dundalk Ave","Dundalk","MD","21222",-0.356164395809174,2024-07-01,"7905 Dundalk Ave Dundalk MD 21222"
"100","Our Lady of Lavang Church","335 Sollers Point Rd","Dundalk","MD","21222",-0.356164395809174,2024-07-01,"335 Sollers Point Rd Dundalk MD 21222"
