Year,State,Zip Code,Count of Claimants
April-2024,DE,19963,3
April-2023,DE,19964,2
April-2024,DE,19964,1
April-2023,DE,19966,15
April-2024,DE,19966,16
April-2023,DE,19967,2
April-2024,DE,19968,1
April-2023,DE,19970,6
April-2024,DE,19970,2
April-2023,DE,19971,2
April-2024,DE,19971,1
April-2023,DE,19973,19
April-2024,DE,19973,17
April-2023,DE,19975,30
April-2024,DE,19975,43
April-2023,DE,19977,2
April-2024,DE,19977,2
April-2024,DE,19979,1
April-2023,FL,32003,1
April-2024,FL,32043,1
April-2023,FL,32068,1
April-2024,FL,32073,3
April-2024,FL,32084,1
April-2024,FL,32117,1
April-2024,FL,32124,1
April-2024,FL,32137,1
April-2023,FL,32162,1
April-2023,FL,32163,2
April-2024,FL,32163,2
April-2023,FL,32174,1
April-2024,FL,32174,1
April-2023,FL,32206,1
April-2024,FL,32208,1
April-2024,FL,32209,2
April-2023,FL,32210,1
April-2024,FL,32210,1
April-2024,FL,32211,1
April-2024,FL,32256,1
April-2024,FL,32257,2
April-2023,FL,32277,1
April-2023,FL,32309,1
April-2024,FL,32348,1
April-2024,FL,32404,1
April-2024,FL,32413,1
April-2024,FL,32459,1
April-2023,FL,32514,1
April-2023,FL,32536,1
April-2024,FL,32566,1
April-2024,FL,32570,1
April-2023,FL,32571,1
April-2023,FL,32578,1
April-2024,FL,32578,1
April-2023,FL,32738,1
April-2023,FL,32746,1
April-2024,FL,32750,2
April-2024,FL,32803,1
April-2023,FL,32808,1
April-2024,FL,32809,1
April-2023,FL,32822,1
April-2024,FL,32907,3
April-2024,FL,32908,1
April-2024,FL,32909,1
April-2023,FL,32937,1
April-2024,FL,32940,1
April-2024,FL,32955,1
April-2024,FL,33009,1
April-2024,FL,33025,1
April-2024,FL,33026,1
April-2024,FL,33062,1
April-2024,FL,33134,1
April-2024,FL,33139,1
April-2024,FL,33147,1
April-2023,FL,33193,1
April-2023,FL,33311,2
April-2024,FL,33316,1
April-2023,FL,33323,1
April-2023,FL,33326,1
April-2024,FL,33433,1
April-2023,FL,33470,1
April-2024,FL,33511,1
April-2023,FL,33540,1
April-2023,FL,33543,1
April-2024,FL,33544,1
April-2024,FL,33547,1
April-2023,FL,33578,2
April-2023,FL,33596,1
April-2024,FL,33596,1
April-2024,FL,33625,1
April-2023,FL,33647,1
April-2023,FL,33759,1
April-2023,FL,33825,1
April-2024,FL,33830,1
April-2024,FL,33843,1
April-2023,FL,33844,1
April-2023,FL,33860,1
April-2024,FL,33880,1
April-2023,FL,33881,1
April-2024,FL,33903,1
April-2023,FL,33908,1
April-2023,FL,33913,1
April-2024,FL,33914,1
April-2023,FL,33928,1
April-2023,FL,33993,1
April-2024,FL,34120,1
April-2023,FL,34209,2
April-2023,FL,34219,1
April-2023,FL,34243,1
April-2024,FL,34243,1
April-2024,FL,34285,1
April-2023,FL,34292,1
April-2023,FL,34433,1
April-2023,FL,34465,1
April-2024,FL,34480,1
April-2023,FL,34481,1
April-2024,FL,34601,1
April-2023,FL,34638,1
April-2024,FL,34638,1
April-2024,FL,34654,2
April-2024,FL,34655,1
April-2024,FL,34668,1
April-2024,FL,34748,1
April-2023,FL,34758,1
April-2024,FL,34758,1
April-2023,FL,34761,1
April-2024,FL,34772,1
April-2024,FL,34952,1
April-2023,FL,34987,1
April-2024,FL,34987,1
April-2023,GA,30016,2
April-2024,GA,30016,1
April-2024,GA,30022,2
April-2023,GA,30028,1
April-2023,GA,30046,1
April-2024,GA,30052,1
April-2023,GA,30055,1
April-2023,GA,30058,1
April-2023,GA,30064,1
April-2024,GA,30082,1
April-2023,GA,30083,1
April-2023,GA,30084,1
April-2024,GA,30084,1
April-2024,GA,30088,1
April-2023,GA,30096,1
April-2023,GA,30127,1
April-2023,GA,30135,1
April-2024,GA,30144,1
April-2023,GA,30180,1
