"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"101","24005403602","Census Tract 4036.02"," Baltimore County"," Maryland","number_households",2120,90,"2010"
"102","24005403602","Census Tract 4036.02"," Baltimore County"," Maryland","median_income",75980,7713,"2010"
"103","24005403701","Census Tract 4037.01"," Baltimore County"," Maryland","number_households",3235,166,"2010"
"104","24005403701","Census Tract 4037.01"," Baltimore County"," Maryland","median_income",77610,12203,"2010"
"105","24005403702","Census Tract 4037.02"," Baltimore County"," Maryland","number_households",1898,168,"2010"
"106","24005403702","Census Tract 4037.02"," Baltimore County"," Maryland","median_income",66316,9218,"2010"
"107","24005403801","Census Tract 4038.01"," Baltimore County"," Maryland","number_households",645,38,"2010"
"108","24005403801","Census Tract 4038.01"," Baltimore County"," Maryland","median_income",171250,63035,"2010"
"109","24005403802","Census Tract 4038.02"," Baltimore County"," Maryland","number_households",1105,44,"2010"
"110","24005403802","Census Tract 4038.02"," Baltimore County"," Maryland","median_income",184375,25401,"2010"
"111","24005403803","Census Tract 4038.03"," Baltimore County"," Maryland","number_households",1476,59,"2010"
"112","24005403803","Census Tract 4038.03"," Baltimore County"," Maryland","median_income",113200,7446,"2010"
"113","24005404101","Census Tract 4041.01"," Baltimore County"," Maryland","number_households",1888,117,"2010"
"114","24005404101","Census Tract 4041.01"," Baltimore County"," Maryland","median_income",91298,10792,"2010"
"115","24005404102","Census Tract 4041.02"," Baltimore County"," Maryland","number_households",2112,119,"2010"
"116","24005404102","Census Tract 4041.02"," Baltimore County"," Maryland","median_income",64030,3851,"2010"
"117","24005404201","Census Tract 4042.01"," Baltimore County"," Maryland","number_households",2149,117,"2010"
"118","24005404201","Census Tract 4042.01"," Baltimore County"," Maryland","median_income",68618,11271,"2010"
"119","24005404202","Census Tract 4042.02"," Baltimore County"," Maryland","number_households",2714,140,"2010"
"120","24005404202","Census Tract 4042.02"," Baltimore County"," Maryland","median_income",49206,5485,"2010"
"121","24005404402","Census Tract 4044.02"," Baltimore County"," Maryland","number_households",2231,126,"2010"
"122","24005404402","Census Tract 4044.02"," Baltimore County"," Maryland","median_income",109409,8596,"2010"
"123","24005404403","Census Tract 4044.03"," Baltimore County"," Maryland","number_households",2003,124,"2010"
"124","24005404403","Census Tract 4044.03"," Baltimore County"," Maryland","median_income",42695,8392,"2010"
"125","24005404404","Census Tract 4044.04"," Baltimore County"," Maryland","number_households",1861,94,"2010"
"126","24005404404","Census Tract 4044.04"," Baltimore County"," Maryland","median_income",70380,14657,"2010"
"127","24005404501","Census Tract 4045.01"," Baltimore County"," Maryland","number_households",2632,64,"2010"
"128","24005404501","Census Tract 4045.01"," Baltimore County"," Maryland","median_income",65365,9003,"2010"
"129","24005404502","Census Tract 4045.02"," Baltimore County"," Maryland","number_households",1575,28,"2010"
"130","24005404502","Census Tract 4045.02"," Baltimore County"," Maryland","median_income",52642,5492,"2010"
"131","24005404600","Census Tract 4046"," Baltimore County"," Maryland","number_households",1010,71,"2010"
"132","24005404600","Census Tract 4046"," Baltimore County"," Maryland","median_income",89412,18258,"2010"
"133","24005404800","Census Tract 4048"," Baltimore County"," Maryland","number_households",651,45,"2010"
"134","24005404800","Census Tract 4048"," Baltimore County"," Maryland","median_income",113438,23172,"2010"
"135","24005404900","Census Tract 4049"," Baltimore County"," Maryland","number_households",1799,32,"2010"
"136","24005404900","Census Tract 4049"," Baltimore County"," Maryland","median_income",121420,15592,"2010"
"137","24005405000","Census Tract 4050"," Baltimore County"," Maryland","number_households",1670,81,"2010"
"138","24005405000","Census Tract 4050"," Baltimore County"," Maryland","median_income",90729,15349,"2010"
"139","24005406000","Census Tract 4060"," Baltimore County"," Maryland","number_households",1928,75,"2010"
"140","24005406000","Census Tract 4060"," Baltimore County"," Maryland","median_income",102315,14735,"2010"
"141","24005407001","Census Tract 4070.01"," Baltimore County"," Maryland","number_households",1233,71,"2010"
"142","24005407001","Census Tract 4070.01"," Baltimore County"," Maryland","median_income",92404,30750,"2010"
"143","24005407002","Census Tract 4070.02"," Baltimore County"," Maryland","number_households",2037,47,"2010"
"144","24005407002","Census Tract 4070.02"," Baltimore County"," Maryland","median_income",83878,8630,"2010"
"145","24005408100","Census Tract 4081"," Baltimore County"," Maryland","number_households",2772,124,"2010"
"146","24005408100","Census Tract 4081"," Baltimore County"," Maryland","median_income",82750,13739,"2010"
"147","24005408200","Census Tract 4082"," Baltimore County"," Maryland","number_households",694,52,"2010"
"148","24005408200","Census Tract 4082"," Baltimore County"," Maryland","median_income",131944,31054,"2010"
"149","24005408302","Census Tract 4083.02"," Baltimore County"," Maryland","number_households",1184,55,"2010"
"150","24005408302","Census Tract 4083.02"," Baltimore County"," Maryland","median_income",119000,32923,"2010"
"151","24005408303","Census Tract 4083.03"," Baltimore County"," Maryland","number_households",1173,45,"2010"
"152","24005408303","Census Tract 4083.03"," Baltimore County"," Maryland","median_income",193068,37182,"2010"
"153","24005408304","Census Tract 4083.04"," Baltimore County"," Maryland","number_households",2333,100,"2010"
"154","24005408304","Census Tract 4083.04"," Baltimore County"," Maryland","median_income",73512,12178,"2010"
"155","24005408400","Census Tract 4084"," Baltimore County"," Maryland","number_households",367,74,"2010"
"156","24005408400","Census Tract 4084"," Baltimore County"," Maryland","median_income",83799,4527,"2010"
"157","24005408502","Census Tract 4085.02"," Baltimore County"," Maryland","number_households",2519,42,"2010"
"158","24005408502","Census Tract 4085.02"," Baltimore County"," Maryland","median_income",83361,10065,"2010"
"159","24005408503","Census Tract 4085.03"," Baltimore County"," Maryland","number_households",1380,108,"2010"
"160","24005408503","Census Tract 4085.03"," Baltimore County"," Maryland","median_income",51940,3899,"2010"
"161","24005408505","Census Tract 4085.05"," Baltimore County"," Maryland","number_households",1552,88,"2010"
"162","24005408505","Census Tract 4085.05"," Baltimore County"," Maryland","median_income",83986,8899,"2010"
"163","24005408506","Census Tract 4085.06"," Baltimore County"," Maryland","number_households",2451,79,"2010"
"164","24005408506","Census Tract 4085.06"," Baltimore County"," Maryland","median_income",42223,5754,"2010"
"165","24005408507","Census Tract 4085.07"," Baltimore County"," Maryland","number_households",2742,182,"2010"
"166","24005408507","Census Tract 4085.07"," Baltimore County"," Maryland","median_income",49548,7975,"2010"
"167","24005408601","Census Tract 4086.01"," Baltimore County"," Maryland","number_households",1496,88,"2010"
"168","24005408601","Census Tract 4086.01"," Baltimore County"," Maryland","median_income",78333,11755,"2010"
"169","24005408602","Census Tract 4086.02"," Baltimore County"," Maryland","number_households",821,49,"2010"
"170","24005408602","Census Tract 4086.02"," Baltimore County"," Maryland","median_income",90509,12822,"2010"
"171","24005408702","Census Tract 4087.02"," Baltimore County"," Maryland","number_households",1036,50,"2010"
"172","24005408702","Census Tract 4087.02"," Baltimore County"," Maryland","median_income",89000,11843,"2010"
"173","24005408703","Census Tract 4087.03"," Baltimore County"," Maryland","number_households",2802,42,"2010"
"174","24005408703","Census Tract 4087.03"," Baltimore County"," Maryland","median_income",74864,8731,"2010"
"175","24005408704","Census Tract 4087.04"," Baltimore County"," Maryland","number_households",2071,29,"2010"
"176","24005408704","Census Tract 4087.04"," Baltimore County"," Maryland","median_income",117750,8256,"2010"
"177","24005408800","Census Tract 4088"," Baltimore County"," Maryland","number_households",963,69,"2010"
"178","24005408800","Census Tract 4088"," Baltimore County"," Maryland","median_income",70125,15441,"2010"
