"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"7727","24033802502","Census Tract 8025.02"," Prince George's County"," Maryland","number_households",802,119,"2020"
"7728","24033802502","Census Tract 8025.02"," Prince George's County"," Maryland","median_income",71633,8318,"2020"
"7729","24033802600","Census Tract 8026"," Prince George's County"," Maryland","number_households",1195,139,"2020"
"7730","24033802600","Census Tract 8026"," Prince George's County"," Maryland","median_income",75071,18387,"2020"
"7731","24033802700","Census Tract 8027"," Prince George's County"," Maryland","number_households",946,235,"2020"
"7732","24033802700","Census Tract 8027"," Prince George's County"," Maryland","median_income",63750,15377,"2020"
"7733","24033802803","Census Tract 8028.03"," Prince George's County"," Maryland","number_households",2300,315,"2020"
"7734","24033802803","Census Tract 8028.03"," Prince George's County"," Maryland","median_income",72321,13208,"2020"
"7735","24033802804","Census Tract 8028.04"," Prince George's County"," Maryland","number_households",1855,179,"2020"
"7736","24033802804","Census Tract 8028.04"," Prince George's County"," Maryland","median_income",56368,10904,"2020"
"7737","24033802805","Census Tract 8028.05"," Prince George's County"," Maryland","number_households",1755,229,"2020"
"7738","24033802805","Census Tract 8028.05"," Prince George's County"," Maryland","median_income",71957,13290,"2020"
"7739","24033802901","Census Tract 8029.01"," Prince George's County"," Maryland","number_households",1677,291,"2020"
"7740","24033802901","Census Tract 8029.01"," Prince George's County"," Maryland","median_income",49219,14936,"2020"
"7741","24033803001","Census Tract 8030.01"," Prince George's County"," Maryland","number_households",1071,219,"2020"
"7742","24033803001","Census Tract 8030.01"," Prince George's County"," Maryland","median_income",69712,32868,"2020"
"7743","24033803002","Census Tract 8030.02"," Prince George's County"," Maryland","number_households",995,148,"2020"
"7744","24033803002","Census Tract 8030.02"," Prince George's County"," Maryland","median_income",59797,6537,"2020"
"7745","24033803100","Census Tract 8031"," Prince George's County"," Maryland","number_households",1061,154,"2020"
"7746","24033803100","Census Tract 8031"," Prince George's County"," Maryland","median_income",55993,7643,"2020"
"7747","24033803200","Census Tract 8032"," Prince George's County"," Maryland","number_households",1112,116,"2020"
"7748","24033803200","Census Tract 8032"," Prince George's County"," Maryland","median_income",58725,4475,"2020"
"7749","24033803300","Census Tract 8033"," Prince George's County"," Maryland","number_households",1550,285,"2020"
"7750","24033803300","Census Tract 8033"," Prince George's County"," Maryland","median_income",72069,17277,"2020"
"7751","24033803403","Census Tract 8034.03"," Prince George's County"," Maryland","number_households",2088,292,"2020"
"7752","24033803403","Census Tract 8034.03"," Prince George's County"," Maryland","median_income",48275,10027,"2020"
"7753","24033803508","Census Tract 8035.08"," Prince George's County"," Maryland","number_households",1147,147,"2020"
"7754","24033803508","Census Tract 8035.08"," Prince George's County"," Maryland","median_income",78472,22887,"2020"
"7755","24033803509","Census Tract 8035.09"," Prince George's County"," Maryland","number_households",1141,165,"2020"
"7756","24033803509","Census Tract 8035.09"," Prince George's County"," Maryland","median_income",45768,4381,"2020"
"7757","24033803512","Census Tract 8035.12"," Prince George's County"," Maryland","number_households",2251,219,"2020"
"7758","24033803512","Census Tract 8035.12"," Prince George's County"," Maryland","median_income",86528,25530,"2020"
"7759","24033803513","Census Tract 8035.13"," Prince George's County"," Maryland","number_households",1981,399,"2020"
"7760","24033803513","Census Tract 8035.13"," Prince George's County"," Maryland","median_income",91406,15502,"2020"
"7761","24033803514","Census Tract 8035.14"," Prince George's County"," Maryland","number_households",2436,187,"2020"
"7762","24033803514","Census Tract 8035.14"," Prince George's County"," Maryland","median_income",100536,10510,"2020"
"7763","24033803516","Census Tract 8035.16"," Prince George's County"," Maryland","number_households",1550,101,"2020"
"7764","24033803516","Census Tract 8035.16"," Prince George's County"," Maryland","median_income",127402,8861,"2020"
"7765","24033803519","Census Tract 8035.19"," Prince George's County"," Maryland","number_households",2358,220,"2020"
"7766","24033803519","Census Tract 8035.19"," Prince George's County"," Maryland","median_income",98066,11127,"2020"
"7767","24033803520","Census Tract 8035.20"," Prince George's County"," Maryland","number_households",1588,386,"2020"
"7768","24033803520","Census Tract 8035.20"," Prince George's County"," Maryland","median_income",154000,58514,"2020"
"7769","24033803521","Census Tract 8035.21"," Prince George's County"," Maryland","number_households",2601,374,"2020"
"7770","24033803521","Census Tract 8035.21"," Prince George's County"," Maryland","median_income",136076,22514,"2020"
"7771","24033803524","Census Tract 8035.24"," Prince George's County"," Maryland","number_households",1589,233,"2020"
"7772","24033803524","Census Tract 8035.24"," Prince George's County"," Maryland","median_income",83628,15387,"2020"
"7773","24033803525","Census Tract 8035.25"," Prince George's County"," Maryland","number_households",987,83,"2020"
"7774","24033803525","Census Tract 8035.25"," Prince George's County"," Maryland","median_income",68505,8175,"2020"
"7775","24033803526","Census Tract 8035.26"," Prince George's County"," Maryland","number_households",1320,129,"2020"
"7776","24033803526","Census Tract 8035.26"," Prince George's County"," Maryland","median_income",88578,17962,"2020"
"7777","24033803527","Census Tract 8035.27"," Prince George's County"," Maryland","number_households",1217,201,"2020"
"7778","24033803527","Census Tract 8035.27"," Prince George's County"," Maryland","median_income",102292,15108,"2020"
"7779","24033803528","Census Tract 8035.28"," Prince George's County"," Maryland","number_households",2285,151,"2020"
"7780","24033803528","Census Tract 8035.28"," Prince George's County"," Maryland","median_income",107029,6924,"2020"
"7781","24033803601","Census Tract 8036.01"," Prince George's County"," Maryland","number_households",1190,172,"2020"
"7782","24033803601","Census Tract 8036.01"," Prince George's County"," Maryland","median_income",111618,16022,"2020"
"7783","24033803602","Census Tract 8036.02"," Prince George's County"," Maryland","number_households",857,137,"2020"
"7784","24033803602","Census Tract 8036.02"," Prince George's County"," Maryland","median_income",57560,8221,"2020"
"7785","24033803605","Census Tract 8036.05"," Prince George's County"," Maryland","number_households",1897,203,"2020"
"7786","24033803605","Census Tract 8036.05"," Prince George's County"," Maryland","median_income",96661,8139,"2020"
"7787","24033803606","Census Tract 8036.06"," Prince George's County"," Maryland","number_households",1309,115,"2020"
"7788","24033803606","Census Tract 8036.06"," Prince George's County"," Maryland","median_income",99844,21878,"2020"
"7789","24033803607","Census Tract 8036.07"," Prince George's County"," Maryland","number_households",1011,113,"2020"
"7790","24033803607","Census Tract 8036.07"," Prince George's County"," Maryland","median_income",88199,8574,"2020"
