OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|OID_PLACE_10|GEOID_PLACE_10|NAMELSAD_PLACE_10|AREALAND_PLACE_10|AREAWATER_PLACE_10|MTFCC_PLACE_10|CLASSFP_PLACE_10|FUNCSTAT_PLACE_10|AREALAND_PART|AREAWATER_PART
280903716513001|2446150|Layhill CDP|4114808|22267|G4210|U1|S|28040158088603|2418150|Cloverly CDP|25961971|90514|G4210|U1|S|2650|871
280903716513001|2446150|Layhill CDP|4114808|22267|G4210|U1|S|280403716513001|2446150|Layhill CDP|4094594|21396|G4210|U1|S|3971551|21396
27890158088617|2446250|Laytonsville town|2710661|10510|G4110|C1|A|||||||||148465|0
27890158088617|2446250|Laytonsville town|2710661|10510|G4110|C1|A|27840158088617|2446250|Laytonsville town|2679263|10510|G4110|C1|A|2562196|10510
28090158088629|2446375|Leisure World CDP|2921783|19532|G4210|U2|S|28040158088588|2402825|Aspen Hill CDP|24886255|206787|G4210|U1|S|84740|0
28090158088629|2446375|Leisure World CDP|2921783|19532|G4210|U2|S|28040158088629|2446375|Leisure World CDP|2840101|19532|G4210|U1|S|2837043|19532
28090163788582|2446400|Leitersburg CDP|4536927|0|G4210|U1|S|28040163788582|2446400|Leitersburg CDP|4536927|0|G4210|U1|S|4536927|0
27890160144492|2446475|Leonardtown town|9868515|175832|G4110|C1|A|||||||||1754912|11286
27890160144492|2446475|Leonardtown town|9868515|175832|G4110|C1|A|27840160144492|2446475|Leonardtown town|8223948|165631|G4110|C1|A|8113603|164546
2809015681650858|2446650|Lewistown CDP|1656949|20672|G4210|U1|S|||||||||1656949|20672
28090160144493|2446725|Lexington Park CDP|15706512|23312|G4210|U1|S|||||||||1144689|0
28090160144493|2446725|Lexington Park CDP|15706512|23312|G4210|U1|S|28040160144493|2446725|Lexington Park CDP|14561823|23312|G4210|U1|S|14561823|23312
280903717002008|2446800|Libertytown CDP|6237021|14618|G4210|U1|S|280403717002008|2446800|Libertytown CDP|6237021|14618|G4210|U1|S|6237021|14618
28090155286848|2447040|Linganore CDP|21438170|745812|G4210|U2|S|||||||||6452282|102500
28090155286848|2447040|Linganore CDP|21438170|745812|G4210|U2|S|28040155286848|2447040|Linganore CDP|14871853|643312|G4210|U1|S|14871853|643312
28090155286848|2447040|Linganore CDP|21438170|745812|G4210|U2|S|280403717002007|2474560|Spring Ridge CDP|6828522|78818|G4210|U1|S|114035|0
28090266655590|2447125|Linthicum CDP|14147366|115934|G4210|U1|S|28040266655590|2447125|Linthicum CDP|14147366|115934|G4210|U1|S|14147366|115934
2809015682042364|2447250|Lisbon CDP|3822000|7558|G4210|U1|S|||||||||3822000|7558
280903710977129|2447275|Little Orleans CDP|3218596|10088|G4210|U1|S|||||||||1396321|0
280903710977129|2447275|Little Orleans CDP|3218596|10088|G4210|U1|S|280403710977129|2447275|Little Orleans CDP|1822275|10088|G4210|U1|S|1822275|10088
28090271390284|2447450|Lochearn CDP|14479074|78217|G4210|U1|S|28040271390284|2447450|Lochearn CDP|14479074|78217|G4210|U1|S|14479074|78217
27890156250288|2447525|Loch Lynn Heights town|823858|0|G4110|C1|A|||||||||55|0
27890156250288|2447525|Loch Lynn Heights town|823858|0|G4110|C1|A|27840156250288|2447525|Loch Lynn Heights town|823803|0|G4110|C1|A|823803|0
27890762616773|2447875|Lonaconing town|937361|3709|G4110|C1|A|||||||||4283|0
27890762616773|2447875|Lonaconing town|937361|3709|G4110|C1|A|27840762616773|2447875|Lonaconing town|1075042|3836|G4110|C1|A|933078|3709
280903942688355|2448025|Long Beach CDP|4325806|52907|G4210|U1|S|280403942688355|2448025|Long Beach CDP|4325806|52907|G4210|U1|S|4325806|52907
27890762616774|2448775|Luke town|689667|102484|G4110|C1|A|27840762616774|2448775|Luke town|690087|102484|G4110|C1|A|689667|102484
28090388516469|2448800|Lusby CDP|9098844|429674|G4210|U1|S|28040388516469|2448800|Lusby CDP|9099850|429674|G4210|U1|S|9098844|429674
280903942688305|2448875|Lutherville CDP|5474377|0|G4210|U1|S|280403942688305|2448875|Lutherville CDP|5474377|0|G4210|U1|S|5474377|0
280903710977116|2449325|McCoole CDP|3637578|0|G4210|U1|S|280403710977116|2449325|McCoole CDP|3637578|0|G4210|U1|S|3637578|0
280903942688339|2449700|Madison CDP|8298706|105634|G4210|U1|S|280403942688339|2449700|Madison CDP|8298706|105634|G4210|U1|S|8298706|105634
27890148014684|2449950|Manchester town|6023504|13127|G4110|C1|A|||||||||130210|0
27890148014684|2449950|Manchester town|6023504|13127|G4110|C1|A|27840148014684|2449950|Manchester town|6038142|13127|G4110|C1|A|5893294|13127
280903710977633|2450375|Mapleville CDP|1044938|0|G4210|U1|S|280403710977633|2450375|Mapleville CDP|1044938|0|G4210|U1|S|1044938|0
27890166668405|2450525|Mardela Springs town|1052691|16645|G4110|C1|A|||||||||65477|6589
27890166668405|2450525|Mardela Springs town|1052691|16645|G4110|C1|A|27840166668405|2450525|Mardela Springs town|1036745|12551|G4110|C1|A|987214|10056
280903716512995|2450680|Marlboro Meadows CDP|15788737|214224|G4210|U1|S|280403716512995|2450680|Marlboro Meadows CDP|15788737|214224|G4210|U1|S|15788737|214224
280903716512996|2450685|Marlboro Village CDP|9944019|109564|G4210|U1|S|280403716512996|2450685|Marlboro Village CDP|9962078|109564|G4210|U2|S|9944019|109564
28090286317621|2450750|Marlow Heights CDP|5263760|5547|G4210|U1|S|28040286317621|2450750|Marlow Heights CDP|5264658|5547|G4210|U1|S|5263760|5547
28090286317622|2450775|Marlton CDP|15363213|38181|G4210|U1|S|28040286317622|2450775|Marlton CDP|15363213|38181|G4210|U1|S|15363213|38181
27890158088618|2450965|Martin's Additions village|358003|0|G4110|C1|A|27840158088618|2450965|Martin's Additions village|358003|0|G4110|C1|A|358003|0
27890146474296|2451025|Marydel town|306136|0|G4110|C1|A|||||||||119282|0
27890146474296|2451025|Marydel town|306136|0|G4110|C1|A|27840146474296|2451025|Marydel town|205859|0|G4110|C1|A|186854|0
28090266655592|2451075|Maryland City CDP|19977762|0|G4210|U1|S|28040266655582|2429400|Fort Meade CDP|20895416|31874|G4210|M2|S|11217|0
28090266655592|2451075|Maryland City CDP|19977762|0|G4210|U1|S|28040157508852|2442550|Jessup CDP|13608489|13099|G4210|U1|S|513|0
28090266655592|2451075|Maryland City CDP|19977762|0|G4210|U1|S|28040266655592|2451075|Maryland City CDP|20034136|0|G4210|U1|S|19966032|0
2809015682040752|2451125|Maryland Park CDP|461723|0|G4210|U1|S|||||||||440640|0
2809015682040752|2451125|Maryland Park CDP|461723|0|G4210|U1|S|27840286317588|2413000|Capitol Heights town|2100803|844|G4110|C1|A|21083|0
28090163788583|2451425|Maugansville CDP|6340045|0|G4210|U1|S|28040163788583|2451425|Maugansville CDP|6340045|0|G4210|U1|S|6340045|0
28090266655593|2451575|Mayo CDP|14554242|9901256|G4210|U1|S|28040266655593|2451575|Mayo CDP|14554242|9901256|G4210|U1|S|14554242|9901256
28090271390286|2451587|Mays Chapel CDP|9607358|7717|G4210|U1|S|28040271390286|2451587|Mays Chapel CDP|9607358|7717|G4210|U1|S|9607358|7717
280903942688344|2451800|Mechanicsville CDP|13442545|14162|G4210|U1|S|280403942688344|2451800|Mechanicsville CDP|13442545|14162|G4210|U1|S|13442545|14162
280903716512989|2451940|Melwood CDP|7327074|13198|G4210|U1|S|280403716512989|2451860|Melwood CDP|7264259|13198|G4210|U1|S|7232263|13198
280903716512989|2451940|Melwood CDP|7327074|13198|G4210|U1|S|280403716512999|2483290|Westphalia CDP|34364400|69122|G4210|U1|S|94811|0
280903710977625|2451945|Mercersville CDP|835813|0|G4210|U1|S|280403710977625|2451945|Mercersville CDP|835813|0|G4210|U1|S|835813|0
280903710977608|2452225|Middleburg CDP|251028|0|G4210|U1|S|280403710977608|2452225|Middleburg CDP|251028|0|G4210|U2|S|251028|0
28090271390287|2452300|Middle River CDP|33042481|2297765|G4210|U1|S|||||||||12895120|238167
28090271390287|2452300|Middle River CDP|33042481|2297765|G4210|U1|S|28040271390279|2426600|Essex CDP|23982252|6820835|G4210|U1|S|0|166390
28090271390287|2452300|Middle River CDP|33042481|2297765|G4210|U1|S|28040271390287|2452300|Middle River CDP|20147361|1893208|G4210|U1|S|20147361|1893208
27890155286849|2452425|Middletown town|5484649|10188|G4110|C1|A|||||||||987770|159
27890155286849|2452425|Middletown town|5484649|10188|G4110|C1|A|27840155286849|2452425|Middletown town|4527918|10029|G4110|C1|A|4496879|10029
27890762616775|2452475|Midland town|409141|0|G4110|C1|A|||||||||19854|0
27890762616775|2452475|Midland town|409141|0|G4110|C1|A|27840762616775|2452475|Midland town|500830|0|G4110|C1|A|389287|0
280903710977152|2452525|Midlothian CDP|1795783|0|G4210|U1|S|||||||||193574|0
280903710977152|2452525|Midlothian CDP|1795783|0|G4210|U1|S|280403710977152|2452525|Midlothian CDP|1605523|0|G4210|U1|S|1602209|0
28090271390288|2452562|Milford Mill CDP|17986554|28899|G4210|U1|S|28040271390288|2452562|Milford Mill CDP|17986554|28899|G4210|U1|S|17986554|28899
27890157745296|2452825|Millington town|1854873|61785|G4110|C1|A|||||||||128335|0
27890157745296|2452825|Millington town|1854873|61785|G4110|C1|A|27840157745296|2452825|Millington town|1726538|61785|G4110|C1|A|1726538|61785
