County,County Name,Election District - Precinct,Congressional,Legislative,Office Name,Office District,Candidate Name,Party,Winner,Write-In?,Early Votes,Early Votes Against,Election Night Votes,Election Night Votes Against,Mail-In Ballot 1 Votes,Mail-In Ballot 1 Votes Against,Provisional Votes,Provisional Votes Against,Mail-In Ballot 2 Votes,Mail-In Ballot 2 Votes Against 
3,Baltimore City,001-002,7,46,Judge Orphans' Court,,"Charles ""Chuck"" Bernstein",DEM,Y,,78,,309,,96,,48,,65, 
3,Baltimore City,001-002,7,46,Judge Orphans' Court,,Lewyn Scott Garrett,DEM,Y,,79,,285,,96,,47,,63, 
3,Baltimore City,001-002,7,46,Judge Orphans' Court,,Michele E. Loewenthal,DEM,Y,,82,,312,,101,,54,,67, 
3,Baltimore City,001-002,7,46,Judge Orphans' Court,,Other Write-Ins,,,Y,0,,6,,0,,1,,0, 
3,Baltimore City,001-002,7,46,Sheriff,,Sam Cogen,DEM,Y,,112,,395,,124,,61,,83, 
3,Baltimore City,001-002,7,46,Sheriff,,Other Write-Ins,,,Y,0,,2,,2,,0,,0, 
3,Baltimore City,001-002,7,46,Board of Ed at Large,,April Christina Curley,NON,,,29,,105,,52,,15,,29, 
3,Baltimore City,001-002,7,46,Board of Ed at Large,,Ashley E. Esposito,NON,Y,,67,,211,,74,,22,,35, 
3,Baltimore City,001-002,7,46,Board of Ed at Large,,Salimah Jasani,NON,,,53,,159,,56,,22,,46, 
3,Baltimore City,001-002,7,46,Board of Ed at Large,,Kwame Kenyatta-Bey,NON,Y,,27,,94,,24,,23,,22, 
3,Baltimore City,001-002,7,46,Board of Ed at Large,,Other Write-Ins,,,Y,0,,6,,0,,1,,2, 
3,Baltimore City,001-003,7,46,Governor / Lt. Governor,,Dan Cox and Gordana Schifanelli,REP,,,16,,61,,11,,1,,10, 
3,Baltimore City,001-003,7,46,Governor / Lt. Governor,,Wes Moore and Aruna Miller,DEM,Y,,91,,318,,160,,35,,122, 
3,Baltimore City,001-003,7,46,Governor / Lt. Governor,,David Lashar and Christiana Logansmith,LIB,,,0,,12,,3,,1,,0, 
3,Baltimore City,001-003,7,46,Governor / Lt. Governor,,Nancy Wallace and Patrick Elder,GRN,,,0,,4,,1,,1,,0, 
3,Baltimore City,001-003,7,46,Governor / Lt. Governor,,David Harding and Cathy White,WCP,,,0,,3,,0,,0,,0, 
3,Baltimore City,001-003,7,46,Governor / Lt. Governor,,Kyle Sefcik and Katie Lee,UNA,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-003,7,46,Governor / Lt. Governor,,Other Write-Ins,,,Y,0,,0,,1,,0,,1, 
3,Baltimore City,001-003,7,46,Comptroller,,Barry Glassman,REP,,,22,,92,,25,,4,,14, 
3,Baltimore City,001-003,7,46,Comptroller,,Brooke Elizabeth Lierman,DEM,Y,,85,,302,,155,,34,,117, 
3,Baltimore City,001-003,7,46,Comptroller,,Other Write-Ins,,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-003,7,46,Attorney General,,Michael Anthony Peroutka,REP,,,18,,86,,20,,3,,7, 
3,Baltimore City,001-003,7,46,Attorney General,,Anthony G. Brown,DEM,Y,,86,,307,,158,,35,,121, 
3,Baltimore City,001-003,7,46,Attorney General,,Other Write-Ins,,,Y,1,,0,,0,,0,,1, 
3,Baltimore City,001-003,7,46,U.S. Senator,,Chris Chaffee,REP,,,17,,72,,19,,2,,9, 
3,Baltimore City,001-003,7,46,U.S. Senator,,Chris Van Hollen,DEM,Y,,90,,321,,162,,37,,121, 
3,Baltimore City,001-003,7,46,U.S. Senator,,Scottie Griffin,DEM,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-003,7,46,U.S. Senator,,Andrew J. Wildman,UNA,,Y,0,,0,,0,,0,,0, 
