WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"March 15, 2025",PRINCE GEORGES,345,0,0,0
"March 15, 2025",QUEEN ANNES,17,0,0,0
"March 15, 2025",SOMERSET,6,0,0,0
"March 15, 2025",ST MARYS,8,0,0,0
"March 15, 2025",TALBOT,8,0,0,0
"March 15, 2025",Unknown,23,0,0,0
"March 15, 2025",WASHINGTON,52,0,0,0
"March 15, 2025",WICOMICO,28,0,0,0
"March 15, 2025",WORCESTER,12,0,0,0
"March 22, 2025",ALLEGANY,27,0,0,0
"March 22, 2025",ANNE ARUNDEL,170,0,0,0
"March 22, 2025",BALTIMORE,304,0,0,0
"March 22, 2025",BALTIMORE CITY,315,0,0,0
"March 22, 2025",CALVERT,17,0,0,0
"March 22, 2025",CAROLINE,13,0,0,0
"March 22, 2025",CARROLL,47,0,0,0
"March 22, 2025",CECIL,31,0,0,0
"March 22, 2025",CHARLES,52,0,0,0
"March 22, 2025",DORCHESTER,11,0,0,0
"March 22, 2025",FREDERICK,86,0,0,0
"March 22, 2025",GARRETT,11,0,0,0
"March 22, 2025",HARFORD,79,0,0,0
"March 22, 2025",HOWARD,86,0,0,0
"March 22, 2025",KENT,6,0,0,0
"March 22, 2025",MONTGOMERY,285,0,0,0
"March 22, 2025",NON-MARYLAND,210,0,0,0
"March 22, 2025",PRINCE GEORGES,293,0,0,0
"March 22, 2025",QUEEN ANNES,13,0,0,0
"March 22, 2025",SOMERSET,6,0,0,0
"March 22, 2025",ST MARYS,16,0,0,0
"March 22, 2025",TALBOT,6,0,0,0
"March 22, 2025",Unknown,17,0,0,0
"March 22, 2025",WASHINGTON,50,0,0,0
"March 22, 2025",WICOMICO,37,0,0,0
"March 22, 2025",WORCESTER,19,0,0,0
"March 29, 2025",ALLEGANY,22,0,0,0
"March 29, 2025",ANNE ARUNDEL,161,0,0,0
"March 29, 2025",BALTIMORE,346,0,0,0
"March 29, 2025",BALTIMORE CITY,273,0,0,0
"March 29, 2025",CALVERT,31,0,0,0
"March 29, 2025",CAROLINE,10,0,0,0
"March 29, 2025",CARROLL,39,0,0,0
"March 29, 2025",CECIL,29,0,0,0
"March 29, 2025",CHARLES,60,0,0,0
"March 29, 2025",DORCHESTER,15,0,0,0
"March 29, 2025",FREDERICK,84,0,0,0
"March 29, 2025",GARRETT,4,0,0,0
"March 29, 2025",HARFORD,54,0,0,0
"March 29, 2025",HOWARD,90,0,0,0
"March 29, 2025",KENT,7,0,0,0
"March 29, 2025",MONTGOMERY,266,0,0,0
"March 29, 2025",NON-MARYLAND,209,0,0,0
"March 29, 2025",PRINCE GEORGES,279,0,0,0
"March 29, 2025",QUEEN ANNES,5,0,0,0
"March 29, 2025",SOMERSET,3,0,0,0
"March 29, 2025",ST MARYS,6,0,0,0
"March 29, 2025",TALBOT,10,0,0,0
"March 29, 2025",Unknown,15,0,0,0
"March 29, 2025",WASHINGTON,49,0,0,0
"March 29, 2025",WICOMICO,25,0,0,0
"March 29, 2025",WORCESTER,12,0,0,0
"April 5, 2025",ALLEGANY,16,0,0,0
"April 5, 2025",ANNE ARUNDEL,168,0,0,0
"April 5, 2025",BALTIMORE,361,0,0,0
"April 5, 2025",BALTIMORE CITY,330,0,0,0
"April 5, 2025",CALVERT,39,0,0,0
"April 5, 2025",CAROLINE,9,0,0,0
"April 5, 2025",CARROLL,39,0,0,0
"April 5, 2025",CECIL,23,0,0,0
"April 5, 2025",CHARLES,49,0,0,0
"April 5, 2025",DORCHESTER,9,0,0,0
"April 5, 2025",FREDERICK,94,0,0,0
"April 5, 2025",GARRETT,15,0,0,0
"April 5, 2025",HARFORD,100,0,0,0
