WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"September 21, 2024",ALLEGANY,23,0,0,0
"September 21, 2024",ANNE ARUNDEL,142,0,0,0
"September 21, 2024",BALTIMORE,274,0,0,0
"September 21, 2024",BALTIMORE CITY,277,0,0,0
"September 21, 2024",CALVERT,19,0,0,0
"September 21, 2024",CAROLINE,6,0,0,0
"September 21, 2024",CARROLL,22,0,0,0
"September 21, 2024",CECIL,15,0,0,0
"September 21, 2024",CHARLES,53,0,0,0
"September 21, 2024",DORCHESTER,19,0,0,0
"September 21, 2024",FREDERICK,63,0,0,0
"September 21, 2024",GARRETT,8,0,0,0
"September 21, 2024",HARFORD,59,0,0,0
"September 21, 2024",HOWARD,72,0,0,0
"September 21, 2024",KENT,3,0,0,0
"September 21, 2024",MONTGOMERY,243,0,0,0
"September 21, 2024",NON-MARYLAND,150,0,0,0
"September 21, 2024",PRINCE GEORGES,257,0,0,0
"September 21, 2024",QUEEN ANNES,14,0,0,0
"September 21, 2024",SOMERSET,9,0,0,0
"September 21, 2024",ST MARYS,13,0,0,0
"September 21, 2024",TALBOT,5,0,0,0
"September 21, 2024",Unknown,22,0,0,0
"September 21, 2024",WASHINGTON,41,0,0,0
"September 21, 2024",WICOMICO,36,0,0,0
"September 21, 2024",WORCESTER,12,0,0,0
"September 28, 2024",ALLEGANY,40,0,0,0
"September 28, 2024",ANNE ARUNDEL,160,0,0,0
"September 28, 2024",BALTIMORE,275,0,0,0
"September 28, 2024",BALTIMORE CITY,265,0,0,0
"September 28, 2024",CALVERT,24,0,0,0
"September 28, 2024",CAROLINE,11,0,0,0
"September 28, 2024",CARROLL,31,0,0,0
"September 28, 2024",CECIL,28,0,0,0
"September 28, 2024",CHARLES,40,0,0,0
"September 28, 2024",DORCHESTER,11,0,0,0
"September 28, 2024",FREDERICK,56,0,0,0
"September 28, 2024",GARRETT,8,0,0,0
"September 28, 2024",HARFORD,75,0,0,0
"September 28, 2024",HOWARD,55,0,0,0
"September 28, 2024",KENT,2,0,0,0
"September 28, 2024",MONTGOMERY,187,0,0,0
"September 28, 2024",NON-MARYLAND,138,0,0,0
"September 28, 2024",PRINCE GEORGES,231,0,0,0
"September 28, 2024",QUEEN ANNES,10,0,0,0
"September 28, 2024",SOMERSET,8,0,0,0
"September 28, 2024",ST MARYS,5,0,0,0
"September 28, 2024",TALBOT,13,0,0,0
"September 28, 2024",Unknown,22,0,0,0
"September 28, 2024",WASHINGTON,58,0,0,0
"September 28, 2024",WICOMICO,33,0,0,0
"September 28, 2024",WORCESTER,23,0,0,0
"October 05, 2024",ALLEGANY,24,0,0,0
"October 05, 2024",ANNE ARUNDEL,145,0,0,0
"October 05, 2024",BALTIMORE,337,0,0,0
"October 05, 2024",BALTIMORE CITY,306,0,0,0
"October 05, 2024",CALVERT,23,0,0,0
"October 05, 2024",CAROLINE,5,0,0,0
"October 05, 2024",CARROLL,46,0,0,0
"October 05, 2024",CECIL,23,0,0,0
"October 05, 2024",CHARLES,49,0,0,0
"October 05, 2024",DORCHESTER,9,0,0,0
"October 05, 2024",FREDERICK,71,0,0,0
"October 05, 2024",GARRETT,5,0,0,0
"October 05, 2024",HARFORD,106,0,0,0
"October 05, 2024",HOWARD,72,0,0,0
"October 05, 2024",KENT,4,0,0,0
"October 05, 2024",MONTGOMERY,231,0,0,0
"October 05, 2024",NON-MARYLAND,189,0,0,0
"October 05, 2024",PRINCE GEORGES,275,0,0,0
"October 05, 2024",QUEEN ANNES,10,0,0,0
"October 05, 2024",SOMERSET,5,0,0,0
"October 05, 2024",ST MARYS,5,0,0,0
"October 05, 2024",TALBOT,9,0,0,0
"October 05, 2024",Unknown,21,0,0,0
"October 05, 2024",WASHINGTON,61,0,0,0
"October 05, 2024",WICOMICO,50,0,0,0
"October 05, 2024",WORCESTER,35,0,0,0
"October 12, 2024",ALLEGANY,25,0,0,0
"October 12, 2024",ANNE ARUNDEL,155,0,0,0
"October 12, 2024",BALTIMORE,297,0,0,0
"October 12, 2024",BALTIMORE CITY,280,0,0,0
"October 12, 2024",CALVERT,14,0,0,0
"October 12, 2024",CAROLINE,8,0,0,0
"October 12, 2024",CARROLL,34,0,0,0
"October 12, 2024",CECIL,28,0,0,0
"October 12, 2024",CHARLES,43,0,0,0
"October 12, 2024",DORCHESTER,10,0,0,0
"October 12, 2024",FREDERICK,53,0,0,0
"October 12, 2024",GARRETT,16,0,0,0
"October 12, 2024",HARFORD,82,0,0,0
"October 12, 2024",HOWARD,81,0,0,0
"October 12, 2024",KENT,3,0,0,0
"October 12, 2024",MONTGOMERY,220,0,0,0
"October 12, 2024",NON-MARYLAND,173,0,0,0
"October 12, 2024",PRINCE GEORGES,266,0,0,0
"October 12, 2024",QUEEN ANNES,11,0,0,0
"October 12, 2024",SOMERSET,10,0,0,0
"October 12, 2024",ST MARYS,15,0,0,0
"October 12, 2024",TALBOT,14,0,0,0
"October 12, 2024",Unknown,14,0,0,0
"October 12, 2024",WASHINGTON,43,0,0,0
"October 12, 2024",WICOMICO,56,0,0,0
"October 12, 2024",WORCESTER,49,0,0,0
"October 19, 2024",ALLEGANY,17,0,0,0
"October 19, 2024",ANNE ARUNDEL,163,0,0,0
"October 19, 2024",BALTIMORE,267,0,0,0
"October 19, 2024",BALTIMORE CITY,242,0,0,0
"October 19, 2024",CALVERT,16,0,0,0
"October 19, 2024",CAROLINE,8,0,0,0
"October 19, 2024",CARROLL,37,0,0,0
"October 19, 2024",CECIL,21,0,0,0
"October 19, 2024",CHARLES,37,0,0,0
"October 19, 2024",DORCHESTER,13,0,0,0
"October 19, 2024",FREDERICK,76,0,0,0
"October 19, 2024",GARRETT,5,0,0,0
"October 19, 2024",HARFORD,79,0,0,0
"October 19, 2024",HOWARD,69,0,0,0
"October 19, 2024",KENT,5,0,0,0
